,본부명,지사명,노선명,구간,방.향,X5km,발생건수,위도.x,경도,X,번호,생태통로명,주소,도로명,도로번호,차선_수,위도.y,위도
72, 대전충남 , 천안 , 경부선 ,335~340, 부산 ,335,3,36.7820643,127.1747598,NA,NA,NA,NA,NA,NA,NA,NA,36.7820643
73, 대전충남 , 천안 , 경부선 ,340~345, 부산 ,340,5,36.8254311,127.1681066,NA,NA,NA,NA,NA,NA,NA,NA,36.8254311
74, 대전충남 , 천안 , 경부선 ,325~330, 서울 ,325,3,36.7345899,127.2563955,NA,NA,NA,NA,NA,NA,NA,NA,36.7345899
75, 전북 , 논산 , 호남지선 ,25~30, 논산 ,25,4,36.2269574,127.274989,NA,NA,NA,NA,NA,NA,NA,NA,36.2269574
76, 전북 , 무주 , 중부선 ,145~150, 통영 ,145,3,35.8031469,127.6379344,NA,NA,NA,NA,NA,NA,NA,NA,35.8031469
77, 전북 , 보령 , 서해안선 ,155~160, 목포 ,155,4,36.0705525,126.7431945,NA,NA,NA,NA,NA,NA,NA,NA,36.0705525
78, 전북 , 보령 , 서해안선 ,170~175, 목포 ,170,4,36.1478478,126.6208259,NA,NA,NA,NA,NA,NA,NA,NA,36.1478478
79, 전북 , 보령 , 서해안선 ,180~185, 목포 ,180,4,36.2267079,126.569913,NA,NA,NA,NA,NA,NA,NA,NA,36.2267079
80, 전북 , 보령 , 서해안선 ,200~205, 목포 ,200,4,36.3871607,126.5552914,NA,NA,NA,NA,NA,NA,NA,NA,36.3871607
81, 전북 , 보령 , 서해안선 ,205~210, 목포 ,205,3,36.4268359,126.5767559,NA,NA,NA,NA,NA,NA,NA,NA,36.4268359
82, 전북 , 보령 , 서해안선 ,220~225, 목포 ,220,3,36.5586954,126.5794765,NA,NA,NA,NA,NA,NA,NA,NA,36.5586954
