"지역","발생횟수","날짜","year","month","비품종견","품종견"
"전북",205,"2016-11-01",2016,11,108,97
"전남",203,"2016-11-01",2016,11,132,71
"경북",229,"2016-11-01",2016,11,157,72
"경남",503,"2016-11-01",2016,11,342,161
"제주",235,"2016-11-01",2016,11,187,48
"서울",351,"2016-12-01",2016,12,137,214
"부산",267,"2016-12-01",2016,12,151,116
"대구",152,"2016-12-01",2016,12,84,68
"인천",203,"2016-12-01",2016,12,79,124
"광주",136,"2016-12-01",2016,12,58,78
"대전",176,"2016-12-01",2016,12,58,118
"울산",131,"2016-12-01",2016,12,68,63
"세종",22,"2016-12-01",2016,12,15,7
"경기",1120,"2016-12-01",2016,12,567,553
"강원",239,"2016-12-01",2016,12,151,88
"충북",201,"2016-12-01",2016,12,104,97
"충남",259,"2016-12-01",2016,12,177,82
"전북",216,"2016-12-01",2016,12,136,80
"전남",154,"2016-12-01",2016,12,90,64
"경북",274,"2016-12-01",2016,12,209,65
"경남",472,"2016-12-01",2016,12,337,135
"제주",219,"2016-12-01",2016,12,169,50
"서울",372,"2017-01-01",2017,1,171,201
"부산",219,"2017-01-01",2017,1,108,111
"대구",145,"2017-01-01",2017,1,86,59
"인천",258,"2017-01-01",2017,1,125,133
"광주",109,"2017-01-01",2017,1,37,72
"대전",181,"2017-01-01",2017,1,68,113
"울산",113,"2017-01-01",2017,1,73,40
"세종",17,"2017-01-01",2017,1,8,9
"경기",1053,"2017-01-01",2017,1,572,481
"강원",230,"2017-01-01",2017,1,127,103
"충북",213,"2017-01-01",2017,1,123,90
"충남",306,"2017-01-01",2017,1,220,86
"전북",215,"2017-01-01",2017,1,121,94
"전남",177,"2017-01-01",2017,1,117,60
"경북",247,"2017-01-01",2017,1,161,86
"경남",434,"2017-01-01",2017,1,312,122
"제주",267,"2017-01-01",2017,1,220,47
"서울",327,"2017-02-01",2017,2,122,205
"부산",251,"2017-02-01",2017,2,146,105
"대구",151,"2017-02-01",2017,2,95,56
"인천",220,"2017-02-01",2017,2,113,107
"광주",115,"2017-02-01",2017,2,44,71
"대전",152,"2017-02-01",2017,2,53,99
"울산",113,"2017-02-01",2017,2,56,57
"세종",20,"2017-02-01",2017,2,5,15
"경기",980,"2017-02-01",2017,2,562,418
"강원",306,"2017-02-01",2017,2,207,99
"충북",165,"2017-02-01",2017,2,103,62
"충남",270,"2017-02-01",2017,2,162,108
"전북",240,"2017-02-01",2017,2,141,99
"전남",160,"2017-02-01",2017,2,95,65
"경북",256,"2017-02-01",2017,2,175,81
"경남",434,"2017-02-01",2017,2,322,112
"제주",222,"2017-02-01",2017,2,172,50
"서울",443,"2017-03-01",2017,3,182,261
"부산",292,"2017-03-01",2017,3,172,120
"대구",174,"2017-03-01",2017,3,85,89
"인천",310,"2017-03-01",2017,3,145,165
"광주",129,"2017-03-01",2017,3,55,74
"대전",215,"2017-03-01",2017,3,82,133
"울산",135,"2017-03-01",2017,3,78,57
"세종",14,"2017-03-01",2017,3,9,5
"경기",1252,"2017-03-01",2017,3,656,596
"강원",278,"2017-03-01",2017,3,180,98
"충북",261,"2017-03-01",2017,3,147,114
"충남",339,"2017-03-01",2017,3,203,136
"전북",282,"2017-03-01",2017,3,176,106
"전남",212,"2017-03-01",2017,3,123,89
"경북",267,"2017-03-01",2017,3,186,81
"경남",577,"2017-03-01",2017,3,441,136
"제주",301,"2017-03-01",2017,3,255,46
"서울",477,"2017-04-01",2017,4,165,312
"부산",301,"2017-04-01",2017,4,165,136
"대구",188,"2017-04-01",2017,4,79,109
"인천",334,"2017-04-01",2017,4,118,216
"광주",147,"2017-04-01",2017,4,62,85
"대전",210,"2017-04-01",2017,4,58,152
"울산",152,"2017-04-01",2017,4,80,72
"세종",14,"2017-04-01",2017,4,6,8
"경기",1310,"2017-04-01",2017,4,664,646
"강원",316,"2017-04-01",2017,4,180,136
"충북",249,"2017-04-01",2017,4,134,115
"충남",290,"2017-04-01",2017,4,173,117
"전북",292,"2017-04-01",2017,4,164,128
"전남",230,"2017-04-01",2017,4,142,88
"경북",303,"2017-04-01",2017,4,225,78
"경남",559,"2017-04-01",2017,4,406,153
"제주",251,"2017-04-01",2017,4,211,40
"서울",512,"2017-05-01",2017,5,158,354
"부산",376,"2017-05-01",2017,5,208,168
"대구",206,"2017-05-01",2017,5,93,113
"인천",372,"2017-05-01",2017,5,136,236
"광주",158,"2017-05-01",2017,5,68,90
"대전",263,"2017-05-01",2017,5,61,202
"울산",123,"2017-05-01",2017,5,52,71
"세종",11,"2017-05-01",2017,5,5,6
"경기",1345,"2017-05-01",2017,5,599,746
"강원",365,"2017-05-01",2017,5,238,127
"충북",231,"2017-05-01",2017,5,105,126
"충남",339,"2017-05-01",2017,5,219,120
"전북",298,"2017-05-01",2017,5,182,116
"전남",227,"2017-05-01",2017,5,137,90
"경북",324,"2017-05-01",2017,5,226,98
"경남",575,"2017-05-01",2017,5,399,176
"제주",380,"2017-05-01",2017,5,318,62
"서울",492,"2017-06-01",2017,6,163,329
"부산",371,"2017-06-01",2017,6,220,151
"대구",225,"2017-06-01",2017,6,110,115
"인천",325,"2017-06-01",2017,6,138,187
"광주",128,"2017-06-01",2017,6,45,83
"대전",234,"2017-06-01",2017,6,79,155
"울산",121,"2017-06-01",2017,6,55,66
"세종",25,"2017-06-01",2017,6,13,12
"경기",1391,"2017-06-01",2017,6,660,731
"강원",356,"2017-06-01",2017,6,231,125
"충북",174,"2017-06-01",2017,6,93,81
"충남",282,"2017-06-01",2017,6,176,106
"전북",312,"2017-06-01",2017,6,178,134
"전남",268,"2017-06-01",2017,6,154,114
"경북",362,"2017-06-01",2017,6,243,119
"경남",556,"2017-06-01",2017,6,386,170
"제주",378,"2017-06-01",2017,6,332,46
"서울",632,"2017-07-01",2017,7,226,406
"부산",389,"2017-07-01",2017,7,220,169
"대구",198,"2017-07-01",2017,7,114,84
"인천",428,"2017-07-01",2017,7,162,266
"광주",183,"2017-07-01",2017,7,96,87
"대전",288,"2017-07-01",2017,7,93,195
"울산",194,"2017-07-01",2017,7,110,84
"세종",20,"2017-07-01",2017,7,16,4
"경기",1852,"2017-07-01",2017,7,918,934
"강원",450,"2017-07-01",2017,7,280,170
"충북",284,"2017-07-01",2017,7,132,152
"충남",451,"2017-07-01",2017,7,299,152
"전북",361,"2017-07-01",2017,7,218,143
"전남",353,"2017-07-01",2017,7,211,142
"경북",373,"2017-07-01",2017,7,232,141
"경남",684,"2017-07-01",2017,7,489,195
"제주",404,"2017-07-01",2017,7,345,59
"서울",568,"2017-08-01",2017,8,194,374
"부산",405,"2017-08-01",2017,8,212,193
"대구",222,"2017-08-01",2017,8,134,88
"인천",408,"2017-08-01",2017,8,170,238
"광주",207,"2017-08-01",2017,8,97,110
"대전",326,"2017-08-01",2017,8,99,227
"울산",162,"2017-08-01",2017,8,86,76
"세종",20,"2017-08-01",2017,8,7,13
"경기",2003,"2017-08-01",2017,8,1001,1002
"강원",492,"2017-08-01",2017,8,311,181
"충북",304,"2017-08-01",2017,8,166,138
"충남",433,"2017-08-01",2017,8,284,149
"전북",444,"2017-08-01",2017,8,277,167
"전남",331,"2017-08-01",2017,8,220,111
"경북",497,"2017-08-01",2017,8,367,130
"경남",825,"2017-08-01",2017,8,584,241
"제주",486,"2017-08-01",2017,8,430,56
"서울",540,"2017-09-01",2017,9,186,354
"부산",385,"2017-09-01",2017,9,200,185
"대구",227,"2017-09-01",2017,9,118,109
"인천",378,"2017-09-01",2017,9,157,221
"광주",161,"2017-09-01",2017,9,76,85
"대전",308,"2017-09-01",2017,9,84,224
"울산",125,"2017-09-01",2017,9,66,59
"세종",16,"2017-09-01",2017,9,9,7
"경기",1645,"2017-09-01",2017,9,844,801
"강원",365,"2017-09-01",2017,9,213,152
"충북",262,"2017-09-01",2017,9,129,133
"충남",349,"2017-09-01",2017,9,242,107
"전북",345,"2017-09-01",2017,9,215,130
"전남",285,"2017-09-01",2017,9,161,124
"경북",384,"2017-09-01",2017,9,272,112
"경남",683,"2017-09-01",2017,9,493,190
"제주",446,"2017-09-01",2017,9,388,58
"서울",464,"2017-10-01",2017,10,186,278
"부산",359,"2017-10-01",2017,10,196,163
"대구",214,"2017-10-01",2017,10,117,97
"인천",359,"2017-10-01",2017,10,134,225
"광주",181,"2017-10-01",2017,10,112,69
"대전",285,"2017-10-01",2017,10,76,209
"울산",142,"2017-10-01",2017,10,69,73
"세종",19,"2017-10-01",2017,10,7,12
"경기",1462,"2017-10-01",2017,10,760,702
"강원",318,"2017-10-01",2017,10,204,114
"충북",252,"2017-10-01",2017,10,129,123
"충남",316,"2017-10-01",2017,10,200,116
"전북",381,"2017-10-01",2017,10,243,138
"전남",302,"2017-10-01",2017,10,201,101
"경북",434,"2017-10-01",2017,10,330,104
"경남",644,"2017-10-01",2017,10,461,183
"제주",437,"2017-10-01",2017,10,374,63
"서울",389,"2017-11-01",2017,11,143,246
"부산",354,"2017-11-01",2017,11,211,143
"대구",217,"2017-11-01",2017,11,115,102
"인천",292,"2017-11-01",2017,11,131,161
"광주",134,"2017-11-01",2017,11,57,77
"대전",259,"2017-11-01",2017,11,74,185
"울산",116,"2017-11-01",2017,11,66,50
"세종",18,"2017-11-01",2017,11,9,9
"경기",1434,"2017-11-01",2017,11,753,681
"강원",314,"2017-11-01",2017,11,206,108
"충북",210,"2017-11-01",2017,11,117,93
"충남",371,"2017-11-01",2017,11,286,85
"전북",267,"2017-11-01",2017,11,177,90
"전남",321,"2017-11-01",2017,11,200,121
"경북",389,"2017-11-01",2017,11,296,93
"경남",656,"2017-11-01",2017,11,503,153
"제주",451,"2017-11-01",2017,11,409,42
"서울",363,"2017-12-01",2017,12,136,227
"부산",291,"2017-12-01",2017,12,151,140
"대구",178,"2017-12-01",2017,12,100,78
"인천",260,"2017-12-01",2017,12,125,135
"광주",116,"2017-12-01",2017,12,51,65
"대전",254,"2017-12-01",2017,12,61,193
"울산",106,"2017-12-01",2017,12,61,45
"세종",20,"2017-12-01",2017,12,6,14
"경기",1225,"2017-12-01",2017,12,696,529
"강원",254,"2017-12-01",2017,12,163,91
"충북",242,"2017-12-01",2017,12,149,93
"충남",391,"2017-12-01",2017,12,294,97
"전북",232,"2017-12-01",2017,12,161,71
"전남",244,"2017-12-01",2017,12,158,86
"경북",355,"2017-12-01",2017,12,263,92
"경남",566,"2017-12-01",2017,12,437,129
"제주",482,"2017-12-01",2017,12,453,29
"서울",400,"2018-01-01",2018,1,172,228
"부산",283,"2018-01-01",2018,1,155,128
"대구",160,"2018-01-01",2018,1,87,73
"인천",280,"2018-01-01",2018,1,152,128
"광주",132,"2018-01-01",2018,1,69,63
"대전",214,"2018-01-01",2018,1,93,121
"울산",127,"2018-01-01",2018,1,71,56
"세종",25,"2018-01-01",2018,1,15,10
"경기",1476,"2018-01-01",2018,1,875,601
"강원",312,"2018-01-01",2018,1,200,112
"충북",251,"2018-01-01",2018,1,166,85
"충남",358,"2018-01-01",2018,1,256,102
"전북",279,"2018-01-01",2018,1,182,97
"전남",337,"2018-01-01",2018,1,227,110
"경북",500,"2018-01-01",2018,1,382,118
"경남",785,"2018-01-01",2018,1,601,184
"제주",474,"2018-01-01",2018,1,422,52
"서울",328,"2018-02-01",2018,2,140,188
"부산",303,"2018-02-01",2018,2,184,119
"대구",200,"2018-02-01",2018,2,90,110
"인천",277,"2018-02-01",2018,2,139,138
"광주",135,"2018-02-01",2018,2,69,66
"대전",240,"2018-02-01",2018,2,77,163
"울산",83,"2018-02-01",2018,2,35,48
"세종",7,"2018-02-01",2018,2,3,4
"경기",1313,"2018-02-01",2018,2,802,511
"강원",282,"2018-02-01",2018,2,189,93
"충북",185,"2018-02-01",2018,2,113,72
"충남",313,"2018-02-01",2018,2,225,88
"전북",258,"2018-02-01",2018,2,161,97
"전남",248,"2018-02-01",2018,2,162,86
"경북",397,"2018-02-01",2018,2,294,103
"경남",641,"2018-02-01",2018,2,513,128
"제주",495,"2018-02-01",2018,2,455,40
"서울",502,"2018-03-01",2018,3,213,289
"부산",387,"2018-03-01",2018,3,243,144
"대구",238,"2018-03-01",2018,3,100,138
"인천",407,"2018-03-01",2018,3,194,213
"광주",131,"2018-03-01",2018,3,56,75
"대전",258,"2018-03-01",2018,3,71,187
"울산",153,"2018-03-01",2018,3,79,74
"세종",35,"2018-03-01",2018,3,23,12
"경기",1717,"2018-03-01",2018,3,968,749
"강원",378,"2018-03-01",2018,3,267,111
"충북",244,"2018-03-01",2018,3,145,99
"충남",496,"2018-03-01",2018,3,327,169
"전북",516,"2018-03-01",2018,3,333,183
"전남",370,"2018-03-01",2018,3,248,122
"경북",560,"2018-03-01",2018,3,405,155
"경남",726,"2018-03-01",2018,3,587,139
"제주",571,"2018-03-01",2018,3,512,59
"서울",472,"2018-04-01",2018,4,147,325
"부산",367,"2018-04-01",2018,4,209,158
"대구",226,"2018-04-01",2018,4,117,109
"인천",377,"2018-04-01",2018,4,164,213
"광주",152,"2018-04-01",2018,4,63,89
"대전",259,"2018-04-01",2018,4,77,182
"울산",134,"2018-04-01",2018,4,62,72
"세종",24,"2018-04-01",2018,4,16,8
"경기",1629,"2018-04-01",2018,4,817,812
"강원",379,"2018-04-01",2018,4,230,149
"충북",216,"2018-04-01",2018,4,121,95
"충남",458,"2018-04-01",2018,4,301,157
"전북",423,"2018-04-01",2018,4,262,161
"전남",369,"2018-04-01",2018,4,231,138
"경북",554,"2018-04-01",2018,4,417,137
"경남",993,"2018-04-01",2018,4,797,196
"제주",524,"2018-04-01",2018,4,468,56
"서울",538,"2018-05-01",2018,5,183,355
"부산",349,"2018-05-01",2018,5,187,162
"대구",237,"2018-05-01",2018,5,128,109
"인천",487,"2018-05-01",2018,5,211,276
"광주",147,"2018-05-01",2018,5,80,67
"대전",274,"2018-05-01",2018,5,99,175
"울산",154,"2018-05-01",2018,5,73,81
"세종",23,"2018-05-01",2018,5,17,6
"경기",1708,"2018-05-01",2018,5,956,752
"강원",362,"2018-05-01",2018,5,226,136
"충북",312,"2018-05-01",2018,5,150,162
"충남",503,"2018-05-01",2018,5,342,161
"전북",447,"2018-05-01",2018,5,290,157
"전남",403,"2018-05-01",2018,5,284,119
"경북",545,"2018-05-01",2018,5,384,161
"경남",1014,"2018-05-01",2018,5,769,245
"제주",568,"2018-05-01",2018,5,486,82
"서울",507,"2018-06-01",2018,6,164,343
"부산",371,"2018-06-01",2018,6,191,180
"대구",239,"2018-06-01",2018,6,109,130
"인천",405,"2018-06-01",2018,6,146,259
"광주",152,"2018-06-01",2018,6,59,93
"대전",307,"2018-06-01",2018,6,80,227
"울산",146,"2018-06-01",2018,6,64,82
"세종",19,"2018-06-01",2018,6,4,15
"경기",1653,"2018-06-01",2018,6,811,842
"강원",343,"2018-06-01",2018,6,188,155
"충북",254,"2018-06-01",2018,6,127,127
"충남",393,"2018-06-01",2018,6,241,152
"전북",420,"2018-06-01",2018,6,280,140
"전남",326,"2018-06-01",2018,6,199,127
"경북",538,"2018-06-01",2018,6,412,126
"경남",852,"2018-06-01",2018,6,629,223
"제주",485,"2018-06-01",2018,6,436,49
"서울",487,"2018-07-01",2018,7,146,341
"부산",436,"2018-07-01",2018,7,233,203
"대구",249,"2018-07-01",2018,7,124,125
"인천",456,"2018-07-01",2018,7,173,283
"광주",166,"2018-07-01",2018,7,81,85
"대전",280,"2018-07-01",2018,7,76,204
"울산",154,"2018-07-01",2018,7,84,70
"세종",29,"2018-07-01",2018,7,18,11
"경기",1946,"2018-07-01",2018,7,970,976
"강원",421,"2018-07-01",2018,7,262,159
"충북",260,"2018-07-01",2018,7,136,124
"충남",416,"2018-07-01",2018,7,271,145
"전북",519,"2018-07-01",2018,7,342,177
"전남",419,"2018-07-01",2018,7,303,116
"경북",605,"2018-07-01",2018,7,440,165
"경남",962,"2018-07-01",2018,7,760,202
"제주",520,"2018-07-01",2018,7,467,53
"서울",501,"2018-08-01",2018,8,139,362
"부산",430,"2018-08-01",2018,8,228,202
"대구",248,"2018-08-01",2018,8,124,124
"인천",430,"2018-08-01",2018,8,183,247
"광주",182,"2018-08-01",2018,8,83,99
"대전",326,"2018-08-01",2018,8,88,238
"울산",167,"2018-08-01",2018,8,88,79
"세종",29,"2018-08-01",2018,8,15,14
"경기",1866,"2018-08-01",2018,8,1003,863
"강원",454,"2018-08-01",2018,8,304,150
"충북",308,"2018-08-01",2018,8,154,154
"충남",452,"2018-08-01",2018,8,279,173
"전북",446,"2018-08-01",2018,8,313,133
"전남",406,"2018-08-01",2018,8,300,106
"경북",667,"2018-08-01",2018,8,527,140
"경남",1051,"2018-08-01",2018,8,823,228
"제주",500,"2018-08-01",2018,8,443,57
"서울",444,"2018-09-01",2018,9,143,301
"부산",351,"2018-09-01",2018,9,196,155
"대구",257,"2018-09-01",2018,9,131,126
"인천",418,"2018-09-01",2018,9,197,221
"광주",151,"2018-09-01",2018,9,84,67
"대전",293,"2018-09-01",2018,9,94,199
"울산",158,"2018-09-01",2018,9,76,82
"세종",23,"2018-09-01",2018,9,16,7
"경기",1799,"2018-09-01",2018,9,1008,791
"강원",410,"2018-09-01",2018,9,266,144
"충북",316,"2018-09-01",2018,9,178,138
"충남",489,"2018-09-01",2018,9,324,165
"전북",475,"2018-09-01",2018,9,317,158
"전남",471,"2018-09-01",2018,9,352,119
"경북",515,"2018-09-01",2018,9,378,137
"경남",922,"2018-09-01",2018,9,751,171
"제주",527,"2018-09-01",2018,9,488,39
"서울",450,"2018-10-01",2018,10,166,284
