Team,Outcome,Task_Completed,All_Tasks_Completed,Murdered,Imposter_Kills,Game_Length,Ejected,Sabotages_Fixed,Time_to_complete_all_tasks
Crewmate,Win,7,Yes,No,,648,No,0.0,07m 28s
Imposter,Win,,,,3,793,No,,
Crewmate,Loss,4,No,Yes,,505,No,0.0,
Imposter,Loss,,,,2,1600,No,,
Crewmate,Loss,4,No,No,,771,No,1.0,
Imposter,Win,,,,3,803,No,,
Crewmate,Loss,7,No,No,,790,No,0.0,
Crewmate,Win,8,Yes,Yes,,1145,No,0.0,09m 08s
Crewmate,Loss,0,No,No,,16,No,0.0,
Crewmate,Win,8,Yes,Yes,,1236,No,0.0,20m 35s
Crewmate,Win,7,No,No,,971,No,2.0,
Imposter,Win,,,,4,962,No,,
Crewmate,Win,2,No,No,,254,No,0.0,
Crewmate,Win,8,Yes,Yes,,1210,No,1.0,15m 09s
Crewmate,Win,8,Yes,Yes,,787,No,0.0,08m 50s
Crewmate,Win,7,Yes,Yes,,1029,No,1.0,13m 52s
Crewmate,Win,6,No,No,,945,No,0.0,
Imposter,Loss,,,,3,842,No,,
Crewmate,Win,7,Yes,No,,1301,No,1.0,20m 23s
Crewmate,Loss,4,No,Yes,,921,No,0.0,
Crewmate,Loss,4,No,No,,520,No,0.0,
Crewmate,Win,7,Yes,Yes,,1309,No,0.0,18m 27s
Crewmate,Win,6,No,No,,935,No,0.0,
Crewmate,Win,7,No,Yes,,1070,No,0.0,
Crewmate,Loss,3,No,Yes,,680,No,0.0,
Crewmate,Win,4,No,No,,481,No,0.0,
Crewmate,Win,7,Yes,No,,1042,No,1.0,09m 10s
Imposter,Win,,,,4,559,No,,
Crewmate,Win,3,No,No,,159,No,0.0,
Crewmate,Win,6,Yes,Yes,,424,No,0.0,05m 19s
Crewmate,Loss,5,No,No,,627,No,0.0,
Crewmate,Win,4,No,No,,869,No,0.0,
Imposter,Win,,,,1,46,No,,
Crewmate,Win,4,No,No,,808,No,1.0,
Crewmate,Win,5,No,No,,688,Yes,0.0,
Crewmate,Loss,7,Yes,Yes,,711,No,1.0,08m 14s
Crewmate,Loss,4,No,Yes,,742,No,0.0,05m 38s
Imposter,Win,,,,2,57,No,,
Crewmate,Loss,3,No,No,,277,No,1.0,
Crewmate,Loss,0,No,No,,111,Yes,0.0,
Crewmate,Win,3,No,No,,172,No,0.0,
Crewmate,Loss,2,No,No,,376,No,0.0,
Imposter,Win,,,,1,109,No,,
Imposter,Win,,,,1,61,No,,
Crewmate,Loss,5,Yes,No,,417,No,3.0,03m 02s
Crewmate,Win,7,Yes,Yes,,819,No,0.0,13m 03s
Imposter,Loss,,,,3,1355,No,,
Imposter,Win,,,,3,750,No,,
Crewmate,Win,5,No,No,,552,No,1.0,
Crewmate,Loss,0,No,Yes,,511,No,1.0,
Crewmate,Win,4,No,No,,962,No,0.0,
Crewmate,Loss,3,No,Yes,,627,No,0.0,
Crewmate,Win,5,No,No,,442,Yes,0.0,
Crewmate,Win,4,No,Yes,,889,No,0.0,
Imposter,Loss,,,,2,1009,No,,
Imposter,Win,,,,4,895,No,,
Crewmate,Loss,6,No,Yes,,862,No,0.0,
Crewmate,Win,1,No,Yes,,143,No,0.0,
Crewmate,Win,0,No,Yes,,164,No,0.0,
Crewmate,Win,1,No,No,,175,No,0.0,
Crewmate,Loss,4,No,Yes,,840,No,0.0,
Imposter,Win,,,,3,550,No,,
Crewmate,Win,7,Yes,No,,805,No,3.0,08m 49s
Crewmate,Win,4,No,No,,460,No,0.0,
Imposter,Loss,,,,3,804,No,,
Crewmate,Loss,3,No,Yes,,466,No,0.0,
Crewmate,Win,6,No,No,,911,Yes,0.0,
Crewmate,Win,1,No,No,,238,No,0.0,
Crewmate,Win,3,No,Yes,,410,No,0.0,
Crewmate,Win,5,No,No,,618,No,3.0,
Crewmate,Win,3,No,Yes,,443,No,1.0,
Crewmate,Win,7,Yes,Yes,,1120,No,1.0,14m 14s
Crewmate,Loss,2,No,No,,517,No,0.0,
Crewmate,Win,4,No,No,,402,No,0.0,
Imposter,Win,,,,2,627,No,,
Crewmate,Win,7,Yes,No,,732,No,0.0,08m 23s
Imposter,Win,,,,2,833,No,,
Crewmate,Loss,3,No,No,,313,Yes,0.0,
Crewmate,Win,7,Yes,No,,928,Yes,0.0,10m 17s
Imposter,Win,,,,4,943,No,,
Crewmate,Loss,3,No,Yes,,811,No,1.0,
Imposter,Win,,,,4,533,No,,
Crewmate,Loss,4,No,No,,135,No,1.0,
Crewmate,Loss,2,No,No,,774,No,0.0,
Crewmate,Loss,1,No,Yes,,524,No,0.0,
Imposter,Win,,,,4,612,No,,
Crewmate,Win,2,No,Yes,,405,No,0.0,
Crewmate,Win,4,No,No,,1021,No,1.0,
Crewmate,Win,5,No,No,,498,No,0.0,
Imposter,Win,,,,3,1185,No,,
Imposter,Loss,,,,1,345,No,,
Crewmate,Win,2,No,No,,271,No,0.0,
Crewmate,Win,6,No,Yes,,1021,No,1.0,
Imposter,Win,,,,2,201,No,,
Crewmate,Loss,2,No,No,,295,No,0.0,
Crewmate,Win,0,No,No,,338,No,2.0,
Crewmate,Loss,4,No,Yes,,300,No,0.0,
Crewmate,Win,3,No,Yes,,833,No,0.0,
Crewmate,Loss,5,No,Yes,,563,No,0.0,
Imposter,Win,,,,1,270,No,,
Crewmate,Loss,2,No,No,,533,Yes,5.0,
Crewmate,Win,2,No,Yes,,140,No,0.0,
Crewmate,Win,1,No,No,,142,No,0.0,
Crewmate,Win,7,Yes,Yes,,620,No,2.0,10m 19s
Crewmate,Win,0,No,No,,335,No,1.0,
Crewmate,Loss,7,Yes,No,,827,No,1.0,10m 19s
Imposter,Win,,,,2,307,No,,
Imposter,Win,,,,2,529,No,,
Crewmate,Loss,3,No,Yes,,364,No,1.0,
