날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 05월 18일,"385,500","367,000","388,000","367,000",585.91K,5.04%
2021년 05월 17일,"367,000","379,500","385,000","363,500",0.12K,-3.42%
2021년 05월 16일,"380,000","380,000","380,000","380,000",-,0.00%
2021년 05월 14일,"380,000","381,000","386,500","374,500",566.62K,-0.91%
2021년 05월 13일,"383,500","385,000","399,000","380,500",0.22K,-3.88%
2021년 05월 12일,"399,000","408,000","409,000","390,500",0.01K,-2.56%
2021년 05월 11일,"409,500","406,000","411,500","396,000",0.64K,0.61%
2021년 05월 10일,"407,000","400,000","413,500","399,500",0.34K,2.26%
2021년 05월 09일,"398,000","398,000","398,000","398,000",-,0.00%
2021년 05월 07일,"398,000","396,500","399,000","388,000",418.86K,0.63%
2021년 05월 06일,"395,500","380,500","396,000","380,500",715.43K,5.05%
2021년 05월 05일,"376,500","376,500","376,500","376,500",-,0.00%
2021년 05월 04일,"376,500","374,500","378,500","362,000",461.44K,2.31%
2021년 05월 03일,"368,000","368,000","373,500","365,000",359.47K,1.10%
2021년 05월 02일,"364,000","364,000","364,000","364,000",-,0.00%
2021년 04월 30일,"364,000","373,500","374,000","360,000",496.90K,-2.41%
2021년 04월 29일,"373,000","376,000","386,500","372,500",0.01K,0.13%
2021년 04월 28일,"372,500","380,000","381,000","369,500",0.09K,-1.32%
2021년 04월 27일,"377,500","366,000","382,500","366,000",0.10K,4.14%
2021년 04월 26일,"362,500","355,000","363,000","352,000",0.01K,1.97%
2021년 04월 25일,"355,500","355,500","355,500","355,500",-,0.00%
2021년 04월 23일,"355,500","350,500","355,500","347,500",325.53K,0.71%
2021년 04월 22일,"353,000","352,500","359,000","351,000",0.03K,0.57%
2021년 04월 21일,"351,000","350,500","355,000","346,500",0.03K,-1.27%
2021년 04월 20일,"355,500","352,000","356,000","350,500",0.07K,0.42%
2021년 04월 19일,"354,000","343,500","354,000","342,000",0.17K,3.06%
2021년 04월 16일,"343,500","346,000","347,500","339,000",300.32K,-0.72%
2021년 04월 15일,"346,000","339,000","349,500","336,000",0.04K,2.22%
2021년 04월 14일,"338,500","328,000","340,000","323,000",0.92K,3.52%
2021년 04월 13일,"327,000","331,000","333,500","324,500",0.09K,-0.76%
2021년 04월 12일,"329,500","330,500","331,000","322,000",0.03K,0.46%
2021년 04월 11일,"328,000","328,000","328,000","328,000",-,0.00%
2021년 04월 09일,"328,000","334,500","336,000","326,500",255.45K,-1.06%
2021년 04월 08일,"331,500","329,000","334,000","328,500",388.84K,0.76%
2021년 04월 07일,"329,000","330,000","332,500","326,000",0.00K,0.15%
2021년 04월 06일,"328,500","335,500","335,500","323,500",0.61K,-1.79%
2021년 04월 05일,"334,500","320,000","334,500","320,000",0.05K,5.02%
2021년 04월 04일,"318,500","318,500","318,500","318,500",-,0.00%
2021년 04월 02일,"318,500","321,000","323,000","317,000",281.65K,0.00%
2021년 04월 01일,"318,500","323,000","323,000","314,000",0.01K,-0.47%
2021년 03월 31일,"320,000","322,500","323,000","320,000",0.19K,-0.78%
2021년 03월 30일,"322,500","329,500","330,000","319,500",410.59K,-1.38%
2021년 03월 29일,"327,000","320,000","331,000","320,000",0.62K,2.83%
2021년 03월 28일,"318,000","318,000","318,000","318,000",-,0.00%
2021년 03월 26일,"318,000","312,000","319,500","311,500",486.00K,3.08%
2021년 03월 25일,"308,500","305,000","310,000","302,500",0.04K,0.82%
