"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 06일","43,150","43,200","43,650","42,250","507.99K","-0.80%"
"2022년 05월 05일","43,500","43,500","43,500","43,500","-","0.00%"
"2022년 05월 04일","43,500","43,450","44,350","43,300","489.02K","0.00%"
"2022년 05월 03일","43,500","43,700","44,050","43,200","499.47K","-1.25%"
"2022년 05월 02일","44,050","43,150","44,100","42,800","0.21K","1.26%"
"2022년 05월 01일","43,500","43,500","43,500","43,500","-","0.00%"
"2022년 04월 29일","43,500","43,950","44,000","43,300","450.36K","-1.69%"
"2022년 04월 28일","44,250","42,800","44,250","42,450","0.68K","4.73%"
"2022년 04월 27일","42,250","41,550","42,500","41,350","777.63K","-0.24%"
"2022년 04월 26일","42,350","42,750","43,000","41,950","0.52K","-0.12%"
"2022년 04월 25일","42,400","43,750","43,800","42,250","0.24K","-4.83%"
"2022년 04월 24일","44,550","44,550","44,550","44,550","-","0.00%"
"2022년 04월 22일","44,550","44,000","44,750","43,400","803.49K","0.11%"
"2022년 04월 21일","44,500","43,400","44,850","43,050","0.53K","3.61%"
"2022년 04월 20일","42,950","42,900","43,250","42,300","677.73K","0.70%"
"2022년 04월 19일","42,650","41,200","42,750","41,150","0.01K","4.15%"
"2022년 04월 18일","40,950","41,200","41,250","40,600","273.68K","-0.85%"
"2022년 04월 17일","41,300","41,300","41,300","41,300","-","0.00%"
"2022년 04월 15일","41,300","41,700","42,050","41,300","389.54K","-0.48%"
"2022년 04월 14일","41,500","41,450","41,950","41,250","472.64K","0.12%"
"2022년 04월 13일","41,450","41,200","41,850","41,050","473.23K","1.10%"
"2022년 04월 12일","41,000","40,950","41,150","40,500","0.04K","-0.85%"
"2022년 04월 11일","41,350","40,300","41,400","40,000","0.00K","2.48%"
"2022년 04월 10일","40,350","40,350","40,350","40,350","-","0.00%"
"2022년 04월 08일","40,350","40,300","40,450","39,850","225.63K","0.62%"
"2022년 04월 07일","40,100","40,600","41,250","40,050","0.00K","-1.84%"
"2022년 04월 06일","40,850","40,950","41,100","40,550","270.66K","-0.85%"
"2022년 04월 05일","41,200","41,500","41,500","40,800","0.02K","-0.36%"
"2022년 04월 04일","41,350","40,550","41,400","40,550","0.84K","1.47%"
"2022년 04월 03일","40,750","40,750","40,750","40,750","-","0.00%"
"2022년 04월 01일","40,750","41,250","41,350","40,700","373.19K","-1.93%"
"2022년 03월 31일","41,550","40,750","41,550","40,650","0.03K","2.21%"
"2022년 03월 30일","40,650","41,100","41,450","40,400","0.01K","-1.22%"
"2022년 03월 29일","41,150","41,250","41,500","41,000","1.21K","0.24%"
"2022년 03월 28일","41,050","41,450","41,600","40,600","534.78K","-1.68%"
"2022년 03월 27일","41,750","41,750","41,750","41,750","-","0.00%"
"2022년 03월 25일","41,750","42,200","42,500","41,350","419.31K","-0.71%"
"2022년 03월 24일","42,050","43,200","43,200","41,800","789.48K","-1.87%"
"2022년 03월 23일","42,850","41,150","43,450","40,850","1.13K","6.72%"
"2022년 03월 22일","40,150","39,500","40,400","39,500","0.01K","2.03%"
"2022년 03월 21일","39,350","39,750","40,150","39,350","0.03K","0.00%"
"2022년 03월 18일","39,350","39,550","40,450","39,350","783.18K","0.64%"
"2022년 03월 17일","39,100","39,450","39,750","39,100","0.00K","0.39%"
"2022년 03월 16일","38,950","39,100","39,150","38,400","354.55K","0.91%"
"2022년 03월 15일","38,600","38,900","39,050","38,200","0.00K","-2.28%"
"2022년 03월 14일","39,500","39,300","40,350","39,000","0.20K","0.77%"
"2022년 03월 13일","39,200","39,200","39,200","39,200","-","0.00%"
"2022년 03월 11일","39,200","38,700","39,200","38,350","352.23K","1.42%"
"2022년 03월 10일","38,650","39,150","39,150","38,150","0.03K","1.58%"
"2022년 03월 08일","38,050","39,700","39,800","37,950","879.02K","-5.35%"
"2022년 03월 07일","40,200","40,800","40,900","40,000","0.04K","-3.02%"
"2022년 03월 06일","41,450","41,450","41,450","41,450","-","0.00%"
"2022년 03월 04일","41,450","41,350","41,600","40,650","478.22K","0.36%"
"2022년 03월 03일","41,300","40,650","41,400","40,250","569.84K","2.86%"
"2022년 03월 02일","40,150","39,650","40,600","39,650","0.13K","1.13%"
"2022년 03월 01일","39,700","39,700","39,700","39,700","-","0.00%"
"2022년 02월 28일","39,700","38,950","39,700","38,400","571.95K","2.06%"
"2022년 02월 27일","38,900","38,900","38,900","38,900","-","0.00%"
"2022년 02월 25일","38,900","39,350","39,500","38,500","538.55K","0.13%"
"2022년 02월 24일","38,850","39,450","39,900","38,700","0.04K","-2.63%"
"2022년 02월 23일","39,900","39,300","40,550","39,150","445.18K","1.79%"
"2022년 02월 22일","39,200","38,950","39,400","38,650","0.14K","-1.63%"
"2022년 02월 21일","39,850","39,450","39,850","39,100","270.03K","-0.25%"
"2022년 02월 20일","39,950","39,950","39,950","39,950","-","0.00%"
"2022년 02월 18일","39,950","39,000","40,000","38,800","354.93K","0.88%"
"2022년 02월 17일","39,600","39,750","40,200","39,100","0.02K","0.38%"
"2022년 02월 16일","39,450","39,900","40,150","39,200","0.30K","0.51%"
"2022년 02월 15일","39,250","39,950","40,300","39,100","358.12K","-1.75%"
"2022년 02월 14일","39,950","40,050","40,200","39,150","0.22K","-1.84%"
"2022년 02월 13일","40,700","40,700","40,700","40,700","-","0.00%"
"2022년 02월 11일","40,700","39,950","41,450","39,850","664.34K","0.62%"
"2022년 02월 10일","40,450","40,650","40,900","40,050","0.71K","0.00%"
"2022년 02월 09일","40,450","39,500","40,600","39,400","827.28K","3.32%"
"2022년 02월 08일","39,150","39,200","39,900","38,700","400.66K","0.13%"
"2022년 02월 07일","39,100","39,150","39,150","38,200","0.02K","0.00%"
"2022년 02월 06일","39,100","39,100","39,100","39,100","-","0.00%"
"2022년 02월 04일","39,100","38,700","39,300","38,350","509.08K","0.51%"
"2022년 02월 03일","38,900","39,150","39,200","38,850","0.14K","0.00%"
"2022년 01월 28일","38,900","38,700","39,150","37,250","868.20K","1.57%"
"2022년 01월 27일","38,300","40,100","40,450","38,100","752.96K","-4.25%"
"2022년 01월 26일","40,000","39,850","40,700","39,800","441.53K","0.50%"
"2022년 01월 25일","39,800","40,600","40,700","39,700","642.20K","-2.45%"
"2022년 01월 24일","40,800","41,550","42,200","40,600","461.21K","-2.97%"
"2022년 01월 23일","42,050","42,050","42,050","42,050","-","0.00%"
"2022년 01월 21일","42,050","42,300","42,750","41,600","553.46K","-1.75%"
