"지역","발생횟수","날짜","year","month"
"대구",95,2017-02-01,2017,2
"인천",113,2017-02-01,2017,2
"광주",44,2017-02-01,2017,2
"대전",53,2017-02-01,2017,2
"울산",56,2017-02-01,2017,2
"세종",5,2017-02-01,2017,2
"경기",562,2017-02-01,2017,2
"강원",207,2017-02-01,2017,2
"충북",103,2017-02-01,2017,2
"충남",162,2017-02-01,2017,2
"전북",141,2017-02-01,2017,2
"전남",95,2017-02-01,2017,2
"경북",175,2017-02-01,2017,2
"경남",322,2017-02-01,2017,2
"제주",172,2017-02-01,2017,2
"서울",182,2017-03-01,2017,3
"부산",172,2017-03-01,2017,3
"대구",85,2017-03-01,2017,3
"인천",145,2017-03-01,2017,3
"광주",55,2017-03-01,2017,3
"대전",82,2017-03-01,2017,3
"울산",78,2017-03-01,2017,3
"세종",9,2017-03-01,2017,3
"경기",656,2017-03-01,2017,3
"강원",180,2017-03-01,2017,3
"충북",147,2017-03-01,2017,3
"충남",203,2017-03-01,2017,3
"전북",176,2017-03-01,2017,3
"전남",123,2017-03-01,2017,3
"경북",186,2017-03-01,2017,3
"경남",441,2017-03-01,2017,3
"제주",255,2017-03-01,2017,3
"서울",165,2017-04-01,2017,4
"부산",165,2017-04-01,2017,4
"대구",79,2017-04-01,2017,4
"인천",118,2017-04-01,2017,4
"광주",62,2017-04-01,2017,4
"대전",58,2017-04-01,2017,4
"울산",80,2017-04-01,2017,4
"세종",6,2017-04-01,2017,4
"경기",664,2017-04-01,2017,4
"강원",180,2017-04-01,2017,4
"충북",134,2017-04-01,2017,4
"충남",173,2017-04-01,2017,4
"전북",164,2017-04-01,2017,4
"전남",142,2017-04-01,2017,4
"경북",225,2017-04-01,2017,4
"경남",406,2017-04-01,2017,4
"제주",211,2017-04-01,2017,4
"서울",158,2017-05-01,2017,5
"부산",208,2017-05-01,2017,5
"대구",93,2017-05-01,2017,5
"인천",136,2017-05-01,2017,5
"광주",68,2017-05-01,2017,5
"대전",61,2017-05-01,2017,5
"울산",52,2017-05-01,2017,5
"세종",5,2017-05-01,2017,5
"경기",599,2017-05-01,2017,5
"강원",238,2017-05-01,2017,5
"충북",105,2017-05-01,2017,5
"충남",219,2017-05-01,2017,5
"전북",182,2017-05-01,2017,5
"전남",137,2017-05-01,2017,5
"경북",226,2017-05-01,2017,5
"경남",399,2017-05-01,2017,5
