"월","건수","연도","나이"
"3월",47,"2020",11
"4월",57,"2020",11
"5월",71,"2020",11
"6월",97,"2020",11
"7월",67,"2020",11
"8월",77,"2020",11
"9월",74,"2020",11
"10월",69,"2020",11
"11월",55,"2020",11
"12월",46,"2020",11
"1월",3,"2016",16
"2월",3,"2016",16
"3월",5,"2016",16
"4월",3,"2016",16
"5월",3,"2016",16
"6월",8,"2016",16
"7월",8,"2016",16
"8월",5,"2016",16
"9월",2,"2016",16
"10월",0,"2016",16
"11월",2,"2016",16
"12월",2,"2016",16
"1월",0,"2017",16
"2월",2,"2017",16
"3월",3,"2017",16
"4월",2,"2017",16
"5월",3,"2017",16
"6월",7,"2017",16
"7월",4,"2017",16
"8월",12,"2017",16
"9월",9,"2017",16
"10월",8,"2017",16
"11월",2,"2017",16
"12월",0,"2017",16
"1월",1,"2018",16
"2월",2,"2018",16
"3월",1,"2018",16
"4월",2,"2018",16
"5월",5,"2018",16
"6월",6,"2018",16
"7월",6,"2018",16
"8월",7,"2018",16
"9월",5,"2018",16
"10월",7,"2018",16
"11월",4,"2018",16
"12월",3,"2018",16
"1월",6,"2019",16
"2월",2,"2019",16
"3월",5,"2019",16
"4월",8,"2019",16
"5월",4,"2019",16
"6월",4,"2019",16
"7월",8,"2019",16
"8월",4,"2019",16
"9월",8,"2019",16
"10월",7,"2019",16
"11월",6,"2019",16
"12월",2,"2019",16
"1월",0,"2020",16
"2월",1,"2020",16
"3월",6,"2020",16
"4월",1,"2020",16
"5월",2,"2020",16
"6월",7,"2020",16
"7월",4,"2020",16
"8월",4,"2020",16
"9월",2,"2020",16
"10월",3,"2020",16
"11월",2,"2020",16
"12월",1,"2020",16
