"지역","발생횟수","날짜","year","month"
"충북",126,2017-05-01,2017,5
"충남",120,2017-05-01,2017,5
"전북",116,2017-05-01,2017,5
"전남",90,2017-05-01,2017,5
"경북",98,2017-05-01,2017,5
"경남",176,2017-05-01,2017,5
"제주",62,2017-05-01,2017,5
"서울",329,2017-06-01,2017,6
"부산",151,2017-06-01,2017,6
"대구",115,2017-06-01,2017,6
"인천",187,2017-06-01,2017,6
"광주",83,2017-06-01,2017,6
"대전",155,2017-06-01,2017,6
"울산",66,2017-06-01,2017,6
"세종",12,2017-06-01,2017,6
"경기",731,2017-06-01,2017,6
"강원",125,2017-06-01,2017,6
"충북",81,2017-06-01,2017,6
"충남",106,2017-06-01,2017,6
"전북",134,2017-06-01,2017,6
"전남",114,2017-06-01,2017,6
"경북",119,2017-06-01,2017,6
"경남",170,2017-06-01,2017,6
"제주",46,2017-06-01,2017,6
"서울",406,2017-07-01,2017,7
"부산",169,2017-07-01,2017,7
"대구",84,2017-07-01,2017,7
"인천",266,2017-07-01,2017,7
"광주",87,2017-07-01,2017,7
"대전",195,2017-07-01,2017,7
"울산",84,2017-07-01,2017,7
"세종",4,2017-07-01,2017,7
"경기",934,2017-07-01,2017,7
"강원",170,2017-07-01,2017,7
"충북",152,2017-07-01,2017,7
"충남",152,2017-07-01,2017,7
"전북",143,2017-07-01,2017,7
"전남",142,2017-07-01,2017,7
"경북",141,2017-07-01,2017,7
"경남",195,2017-07-01,2017,7
"제주",59,2017-07-01,2017,7
"서울",374,2017-08-01,2017,8
"부산",193,2017-08-01,2017,8
"대구",88,2017-08-01,2017,8
"인천",238,2017-08-01,2017,8
"광주",110,2017-08-01,2017,8
"대전",227,2017-08-01,2017,8
"울산",76,2017-08-01,2017,8
"세종",13,2017-08-01,2017,8
"경기",1002,2017-08-01,2017,8
"강원",181,2017-08-01,2017,8
"충북",138,2017-08-01,2017,8
"충남",149,2017-08-01,2017,8
"전북",167,2017-08-01,2017,8
"전남",111,2017-08-01,2017,8
"경북",130,2017-08-01,2017,8
"경남",241,2017-08-01,2017,8
"제주",56,2017-08-01,2017,8
"서울",354,2017-09-01,2017,9
"부산",185,2017-09-01,2017,9
"대구",109,2017-09-01,2017,9
"인천",221,2017-09-01,2017,9
"광주",85,2017-09-01,2017,9
"대전",224,2017-09-01,2017,9
"울산",59,2017-09-01,2017,9
"세종",7,2017-09-01,2017,9
"경기",801,2017-09-01,2017,9
"강원",152,2017-09-01,2017,9
"충북",133,2017-09-01,2017,9
"충남",107,2017-09-01,2017,9
"전북",130,2017-09-01,2017,9
"전남",124,2017-09-01,2017,9
"경북",112,2017-09-01,2017,9
"경남",190,2017-09-01,2017,9
"제주",58,2017-09-01,2017,9
"서울",278,2017-10-01,2017,10
"부산",163,2017-10-01,2017,10
"대구",97,2017-10-01,2017,10
"인천",225,2017-10-01,2017,10
"광주",69,2017-10-01,2017,10
"대전",209,2017-10-01,2017,10
"울산",73,2017-10-01,2017,10
"세종",12,2017-10-01,2017,10
"경기",702,2017-10-01,2017,10
"강원",114,2017-10-01,2017,10
"충북",123,2017-10-01,2017,10
"충남",116,2017-10-01,2017,10
"전북",138,2017-10-01,2017,10
"전남",101,2017-10-01,2017,10
"경북",104,2017-10-01,2017,10
"경남",183,2017-10-01,2017,10
"제주",63,2017-10-01,2017,10
"서울",246,2017-11-01,2017,11
"부산",143,2017-11-01,2017,11
"대구",102,2017-11-01,2017,11
"인천",161,2017-11-01,2017,11
"광주",77,2017-11-01,2017,11
"대전",185,2017-11-01,2017,11
"울산",50,2017-11-01,2017,11
"세종",9,2017-11-01,2017,11
"경기",681,2017-11-01,2017,11
"강원",108,2017-11-01,2017,11
"충북",93,2017-11-01,2017,11
"충남",85,2017-11-01,2017,11
"전북",90,2017-11-01,2017,11
"전남",121,2017-11-01,2017,11
"경북",93,2017-11-01,2017,11
"경남",153,2017-11-01,2017,11
"제주",42,2017-11-01,2017,11
"서울",227,2017-12-01,2017,12
"부산",140,2017-12-01,2017,12
"대구",78,2017-12-01,2017,12
"인천",135,2017-12-01,2017,12
"광주",65,2017-12-01,2017,12
"대전",193,2017-12-01,2017,12
"울산",45,2017-12-01,2017,12
"세종",14,2017-12-01,2017,12
"경기",529,2017-12-01,2017,12
"강원",91,2017-12-01,2017,12
"충북",93,2017-12-01,2017,12
"충남",97,2017-12-01,2017,12
"전북",71,2017-12-01,2017,12
"전남",86,2017-12-01,2017,12
"경북",92,2017-12-01,2017,12
"경남",129,2017-12-01,2017,12
"제주",29,2017-12-01,2017,12
"서울",228,2018-01-01,2018,1
"부산",128,2018-01-01,2018,1
"대구",73,2018-01-01,2018,1
"인천",128,2018-01-01,2018,1
"광주",63,2018-01-01,2018,1
"대전",121,2018-01-01,2018,1
"울산",56,2018-01-01,2018,1
"세종",10,2018-01-01,2018,1
"경기",601,2018-01-01,2018,1
"강원",112,2018-01-01,2018,1
"충북",85,2018-01-01,2018,1
"충남",102,2018-01-01,2018,1
"전북",97,2018-01-01,2018,1
"전남",110,2018-01-01,2018,1
"경북",118,2018-01-01,2018,1
"경남",184,2018-01-01,2018,1
"제주",52,2018-01-01,2018,1
"서울",188,2018-02-01,2018,2
"부산",119,2018-02-01,2018,2
"대구",110,2018-02-01,2018,2
"인천",138,2018-02-01,2018,2
"광주",66,2018-02-01,2018,2
"대전",163,2018-02-01,2018,2
"울산",48,2018-02-01,2018,2
"세종",4,2018-02-01,2018,2
"경기",511,2018-02-01,2018,2
"강원",93,2018-02-01,2018,2
"충북",72,2018-02-01,2018,2
"충남",88,2018-02-01,2018,2
"전북",97,2018-02-01,2018,2
"전남",86,2018-02-01,2018,2
"경북",103,2018-02-01,2018,2
"경남",128,2018-02-01,2018,2
"제주",40,2018-02-01,2018,2
"서울",289,2018-03-01,2018,3
"부산",144,2018-03-01,2018,3
"대구",138,2018-03-01,2018,3
"인천",213,2018-03-01,2018,3
"광주",75,2018-03-01,2018,3
"대전",187,2018-03-01,2018,3
"울산",74,2018-03-01,2018,3
"세종",12,2018-03-01,2018,3
"경기",749,2018-03-01,2018,3
"강원",111,2018-03-01,2018,3
"충북",99,2018-03-01,2018,3
"충남",169,2018-03-01,2018,3
"전북",183,2018-03-01,2018,3
"전남",122,2018-03-01,2018,3
"경북",155,2018-03-01,2018,3
"경남",139,2018-03-01,2018,3
"제주",59,2018-03-01,2018,3
"서울",325,2018-04-01,2018,4
"부산",158,2018-04-01,2018,4
"대구",109,2018-04-01,2018,4
"인천",213,2018-04-01,2018,4
"광주",89,2018-04-01,2018,4
"대전",182,2018-04-01,2018,4
"울산",72,2018-04-01,2018,4
"세종",8,2018-04-01,2018,4
"경기",812,2018-04-01,2018,4
"강원",149,2018-04-01,2018,4
"충북",95,2018-04-01,2018,4
"충남",157,2018-04-01,2018,4
"전북",161,2018-04-01,2018,4
"전남",138,2018-04-01,2018,4
"경북",137,2018-04-01,2018,4
"경남",196,2018-04-01,2018,4
"제주",56,2018-04-01,2018,4
"서울",355,2018-05-01,2018,5
"부산",162,2018-05-01,2018,5
"대구",109,2018-05-01,2018,5
"인천",276,2018-05-01,2018,5
"광주",67,2018-05-01,2018,5
"대전",175,2018-05-01,2018,5
"울산",81,2018-05-01,2018,5
"세종",6,2018-05-01,2018,5
"경기",752,2018-05-01,2018,5
"강원",136,2018-05-01,2018,5
"충북",162,2018-05-01,2018,5
"충남",161,2018-05-01,2018,5
"전북",157,2018-05-01,2018,5
"전남",119,2018-05-01,2018,5
"경북",161,2018-05-01,2018,5
"경남",245,2018-05-01,2018,5
"제주",82,2018-05-01,2018,5
"서울",343,2018-06-01,2018,6
"부산",180,2018-06-01,2018,6
"대구",130,2018-06-01,2018,6
"인천",259,2018-06-01,2018,6
"광주",93,2018-06-01,2018,6
"대전",227,2018-06-01,2018,6
"울산",82,2018-06-01,2018,6
"세종",15,2018-06-01,2018,6
"경기",842,2018-06-01,2018,6
"강원",155,2018-06-01,2018,6
"충북",127,2018-06-01,2018,6
"충남",152,2018-06-01,2018,6
"전북",140,2018-06-01,2018,6
"전남",127,2018-06-01,2018,6
"경북",126,2018-06-01,2018,6
"경남",223,2018-06-01,2018,6
"제주",49,2018-06-01,2018,6
"서울",341,2018-07-01,2018,7
"부산",203,2018-07-01,2018,7
"대구",125,2018-07-01,2018,7
"인천",283,2018-07-01,2018,7
"광주",85,2018-07-01,2018,7
"대전",204,2018-07-01,2018,7
"울산",70,2018-07-01,2018,7
"세종",11,2018-07-01,2018,7
"경기",976,2018-07-01,2018,7
"강원",159,2018-07-01,2018,7
"충북",124,2018-07-01,2018,7
"충남",145,2018-07-01,2018,7
"전북",177,2018-07-01,2018,7
"전남",116,2018-07-01,2018,7
"경북",165,2018-07-01,2018,7
"경남",202,2018-07-01,2018,7
"제주",53,2018-07-01,2018,7
"서울",362,2018-08-01,2018,8
"부산",202,2018-08-01,2018,8
"대구",124,2018-08-01,2018,8
"인천",247,2018-08-01,2018,8
"광주",99,2018-08-01,2018,8
"대전",238,2018-08-01,2018,8
"울산",79,2018-08-01,2018,8
"세종",14,2018-08-01,2018,8
"경기",863,2018-08-01,2018,8
"강원",150,2018-08-01,2018,8
"충북",154,2018-08-01,2018,8
"충남",173,2018-08-01,2018,8
"전북",133,2018-08-01,2018,8
"전남",106,2018-08-01,2018,8
"경북",140,2018-08-01,2018,8
